# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sat Aug  2 15:42:12 2025
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN sy_snum:        Number of Stars
# COLUMN sy_pnum:        Number of Planets
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days]
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days]
# COLUMN pl_orbperlim:   Orbital Period Limit Flag
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_radeerr1:    Planet Radius Upper Unc. [Earth Radius]
# COLUMN pl_radeerr2:    Planet Radius Lower Unc. [Earth Radius]
# COLUMN pl_radelim:     Planet Radius Limit Flag
# COLUMN pl_radj:        Planet Radius [Jupiter Radius]
# COLUMN pl_radjerr1:    Planet Radius Upper Unc. [Jupiter Radius]
# COLUMN pl_radjerr2:    Planet Radius Lower Unc. [Jupiter Radius]
# COLUMN pl_radjlim:     Planet Radius Limit Flag
# COLUMN st_spectype:    Spectral Type
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_tefferr1:    Stellar Effective Temperature Upper Unc. [K]
# COLUMN st_tefferr2:    Stellar Effective Temperature Lower Unc. [K]
# COLUMN st_tefflim:     Stellar Effective Temperature Limit Flag
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_raderr1:     Stellar Radius Upper Unc. [Solar Radius]
# COLUMN st_raderr2:     Stellar Radius Lower Unc. [Solar Radius]
# COLUMN st_radlim:      Stellar Radius Limit Flag
# COLUMN st_lum:         Stellar Luminosity [log(Solar)]
# COLUMN st_lumerr1:     Stellar Luminosity Upper Unc. [log(Solar)]
# COLUMN st_lumerr2:     Stellar Luminosity Lower Unc. [log(Solar)]
# COLUMN st_lumlim:      Stellar Luminosity Limit Flag
#
pl_name,hostname,sy_snum,sy_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_lum,st_lumerr1,st_lumerr2,st_lumlim
11 Com b,11 Com,2,1,323.21000000000,0.06000000000,-0.05000000000,0,12.20000000,,,0,1.09000000,,,0,G8 III,4874.00,,,0,13.760000,2.850000,-2.450000,0,1.97823,0.18002,-0.15868,0
11 UMi b,11 UMi,1,1,516.21997000000,3.20000000000,-3.20000000000,0,12.30000000,,,0,1.09000000,,,0,K4 III,4213.00,46.00,-46.00,0,29.790000,2.840000,-2.840000,0,2.42951,0.00801,-0.00816,0
14 And b,14 And,1,1,186.76000000000,0.11000000000,-0.12000000000,0,13.10000000,,,0,1.16000000,,,0,K0 III,4888.00,,,0,11.550000,1.120000,-0.510000,0,1.83992,0.08135,-0.04991,0
14 Her b,14 Her,1,2,1765.03890000000,1.67709000000,-1.87256000000,0,12.60000000,,,0,1.12000000,,,0,K0V,5338.00,25.00,-25.00,0,0.930000,0.010000,-0.010000,0,-0.15273,0.01163,-0.00980,0
16 Cyg B b,16 Cyg B,3,1,798.50000000000,1.00000000000,-1.00000000000,0,13.50000000,,,0,1.20000000,,,0,G3 V,5750.00,8.00,-8.00,0,1.130000,0.010000,-0.010000,0,0.09729,0.00940,-0.01338,0
17 Sco b,17 Sco,1,1,578.38000000000,2.01000000000,-2.09000000000,0,12.90000000,,,0,1.15000000,,,0,K3 III,4157.00,11.00,-10.00,0,25.920000,0.780000,-0.740000,0,2.25435,0.02604,-0.02373,0
18 Del b,18 Del,2,1,982.85000000000,1.06000000000,-0.92000000000,0,12.50000000,,,0,1.12000000,,,0,G6 III,4980.00,,,0,8.800000,0.610000,-0.400000,0,1.63367,0.06102,-0.04283,0
1RXS J160929.1-210524 b,1RXS J160929.1-210524,1,1,,,,,18.64700000,,,0,1.66400000,,,0,K7 V,4060.00,300.00,-200.00,0,1.313160,0.176833,-0.102363,0,-0.37000,0.15000,-0.15000,0
24 Boo b,24 Boo,1,1,30.33000000000,0.00000000000,-0.01000000000,0,13.90000000,,,0,1.24000000,,,0,G3 IV,4816.00,,,0,12.190000,1.450000,-1.280000,0,1.87691,0.08998,-0.09537,0
24 Sex b,24 Sex,1,2,452.80000000000,2.10000000000,-4.50000000000,0,13.40000000,,,0,1.19000000,,,0,K0 IV,5098.00,44.00,-44.00,0,4.900000,0.080000,-0.080000,0,1.16400,0.00300,-0.00300,0
