time,flux,flux_err,bge,quality,bgv,fdv,fkv,fsv,ife1,ife2,ife3,ifl1,ifl2,ifl3,ire1,ire2,ire3,irm1,irm2,irm3,irq1,irq2,irq3,rstfc,tmid_utc,xic,yic,ccdtemp,ntemps,bjdcorr,tfa1,tfa2,tfa3,pca1,pca2,pca3
2459088.2501570685,7.88248,nan,0.3,G,0.03,0.0503543338,-0.0038616475,1.11244491,65.73,80.48,88.68,22550.59,33806.63,41042.49,0.00316,0.00258,0.00235,7.88248,7.44287,7.23229,G,G,G,tess2020239174914-s0029-2-2-0193_cal_img_bkgdsub,2459088.2459972,1238.18494,535.656053,-80.18137333333333,9.0,0.0033591433944634235,7.883637158300735,7.441075207215862,7.231838914996341,7.883367095054379,7.441249828121626,7.231758304768133
2459088.257101644,7.88242,nan,0.3,G,0.04,0.0510518289,-0.00447093586,1.11305704,65.73,80.48,88.67,22551.85,33805.03,41033.27,0.00316,0.00258,0.00235,7.88242,7.44292,7.23254,G,G,G,tess2020239175914-s0029-2-2-0193_cal_img_bkgdsub,2459088.2529416,1238.18423,535.656125,-80.17845374999997,8.0,0.003359318236047437,7.884047729330006,7.442184139283812,7.231869926447872,7.88330101385287,7.441300336281191,7.2319972292729195
2459088.2640462182,7.88193,nan,0.29,G,-0.19,0.0506374908,-0.00420356781,1.11067259,65.75,80.51,88.71,22562.16,33832.5,41069.63,0.00316,0.00258,0.00235,7.88193,7.44204,7.23158,G,G,G,tess2020239180914-s0029-2-2-0193_cal_img_bkgdsub,2459088.259886,1238.18528,535.657232,-80.17358777777777,9.0,0.0033594930307757035,7.883773207157544,7.440602652816465,7.231683320661571,7.882904504649318,7.440550412308009,7.231241719441158
2459088.2709908937,7.88208,nan,0.31,G,0.08,0.0498781563,-0.00364886026,1.11021179,65.74,80.49,88.68,22559.05,33816.97,41041.74,0.00316,0.00258,0.00235,7.88208,7.44254,7.23231,G,G,G,tess2020239181914-s0029-2-2-0193_cal_img_bkgdsub,2459088.2668305,1238.18673,535.657081,-80.17168562500002,8.0,0.0033596677811885047,7.882880245025651,7.4403660768527615,7.231691985823985,7.8829416123619405,7.440904308693007,7.231730172992281
2459088.277935468,7.88195,nan,0.28,G,-0.02,0.0522047247,-0.00470763882,1.10822788,65.75,80.48,88.66,22561.76,33810.58,41025.66,0.00316,0.00258,0.00235,7.88195,7.44275,7.23274,G,G,G,tess2020239182914-s0029-2-2-0193_cal_img_bkgdsub,2459088.2737749,1238.1858,535.656335,-80.17234916666669,6.0,0.003359842482221729,7.883127769266227,7.440679498664209,7.231909808855301,7.88285614247922,7.44117316689189,7.232247445285632
2459088.2848801427,7.88143,nan,0.33,G,0.02,0.0555255187,-0.00685690649,1.10546872,65.76,80.5,88.69,22572.52,33825.74,41052.19,0.00316,0.00258,0.00235,7.88143,7.44226,7.23204,G,G,G,tess2020239183914-s0029-2-2-0193_cal_img_bkgdsub,2459088.2807194,1238.18748,535.653551,-80.16651,7.0,0.003360017138922335,7.883965018753558,7.441160116359873,7.23195907164365,7.882319928497917,7.4406603778058615,7.231508516983364
2459088.2918247175,7.88253,nan,0.33,G,0.08,0.0527758692,-0.00452717313,1.10980125,65.73,80.48,88.66,22549.55,33805.37,41022.27,0.00316,0.00258,0.00235,7.88253,7.44291,7.23283,G,G,G,tess2020239184914-s0029-2-2-0193_cal_img_bkgdsub,2459088.2876638,1238.18807,535.655135,-80.16403277777778,9.0,0.0033601917462639467,7.883406194479904,7.441754473888966,7.2311250663880315,7.883393142137483,7.441278579655415,7.23224206262965
2459088.298769392,7.88199,nan,0.35,G,0.06,0.0560860132,-0.00642820727,1.10401561,65.75,80.48,88.66,22560.93,33809.35,41024.05,0.00316,0.00258,0.00235,7.88199,7.44279,7.23278,G,G,G,tess2020239185914-s0029-2-2-0193_cal_img_bkgdsub,2459088.2946083,1238.18748,535.657595,-80.16120166666667,9.0,0.003360366309255739,7.883391272905739,7.44081468759202,7.232721054990882,7.882860347295934,7.441173826906346,7.232207008662585
2459088.305713966,7.88275,nan,0.27,G,-0.02,0.0530790994,-0.00532300317,1.1085621,65.72,80.47,88.66,22545.05,33801.27,41027.56,0.00317,0.00258,0.00235,7.88275,7.44305,7.23269,G,G,G,tess2020239190914-s0029-2-2-0193_cal_img_bkgdsub,2459088.3015527,1238.19,535.658105,-80.158945625,8.0,0.0033605408228739673,7.884004968668454,7.440618471545443,7.231258910424815,7.883654913642376,7.441481499048638,7.232187491307562
2459088.312658541,7.88256,nan,0.32,G,-0.05,0.0523134828,-0.00520705476,1.1077306,65.73,80.48,88.67,22548.93,33805.14,41028.79,0.00316,0.00258,0.00235,7.88256,7.44292,7.23266,G,G,G,tess2020239191914-s0029-2-2-0193_cal_img_bkgdsub,2459088.3084971,1238.18962,535.65916,-80.158229,10.0,0.0033607152896452707,7.883973415270013,7.440140765830766,7.231678116298385,7.883476000980991,7.441371112919533,7.232182776082863
